Algorithm,Data Type,Input Size (n),Comparisons,Time (seconds),Complexity Class,Notes
Linear Search,Sorted,1000,901,0.000147,O(n),Target at 90% position
Binary Search,Sorted,1000,10,1e-05,O(log n),Target at 90% position
Linear Search,Sorted,5000,4501,0.000735,O(n),Target at 90% position
Binary Search,Sorted,5000,9,9e-06,O(log n),Target at 90% position
Linear Search,Sorted,10000,9000,0.001062,O(n),Target at 90% position
Binary Search,Sorted,10000,12,4e-06,O(log n),Target at 90% position
Linear Search,Sorted,50000,45001,0.007934,O(n),Target at 90% position
Binary Search,Sorted,50000,16,9e-06,O(log n),Target at 90% position
Linear Search,Sorted,100000,90000,0.01617,O(n),Target at 90% position
Binary Search,Sorted,100000,13,9e-06,O(log n),Target at 90% position
Linear Search,Sorted,500000,450001,0.088653,O(n),Target at 90% position
Binary Search,Sorted,500000,18,1e-05,O(log n),Target at 90% position
Linear Search,Sorted,1000000,900001,0.178626,O(n),Target at 90% position
Binary Search,Sorted,1000000,19,1.1e-05,O(log n),Target at 90% position
Linear Search,Sorted,2000000,1800001,0.376893,O(n),Target at 90% position
Binary Search,Sorted,2000000,21,1.6e-05,O(log n),Target at 90% position
Bubble Sort,Random,100,4929,0.0012,O(n^2),Average case
Selection Sort,Random,100,4950,0.0005,O(n^2),Average case
Insertion Sort,Random,100,2689,0.0006,O(n^2),Average case
Merge Sort,Random,100,546,0.0002,O(n log n),Consistent performance
Quick Sort,Random,100,613,0.0002,O(n log n) avg,Average case
Bubble Sort,Random,500,124714,0.0195,O(n^2),Average case
Selection Sort,Random,500,124750,0.0108,O(n^2),Average case
Insertion Sort,Random,500,63255,0.0108,O(n^2),Average case
Merge Sort,Random,500,3857,0.0012,O(n log n),Consistent performance
Quick Sort,Random,500,4546,0.001,O(n log n) avg,Average case
Bubble Sort,Random,1000,499434,0.0824,O(n^2),Average case
Selection Sort,Random,1000,499500,0.0442,O(n^2),Average case
Insertion Sort,Random,1000,255485,0.0445,O(n^2),Average case
Merge Sort,Random,1000,8706,0.0027,O(n log n),Consistent performance
Quick Sort,Random,1000,10438,0.0023,O(n log n) avg,Average case
Bubble Sort,Random,2000,1998097,0.3429,O(n^2),Average case
Selection Sort,Random,2000,1999000,0.1885,O(n^2),Average case
Insertion Sort,Random,2000,1014231,0.1829,O(n^2),Average case
Merge Sort,Random,2000,19429,0.0055,O(n log n),Consistent performance
Quick Sort,Random,2000,23106,0.005,O(n log n) avg,Average case
Bubble Sort,Random,5000,12497149,2.1196,O(n^2),Average case
Selection Sort,Random,5000,12497500,1.0425,O(n^2),Average case
Insertion Sort,Random,5000,6133630,1.0874,O(n^2),Average case
Merge Sort,Random,5000,55171,0.0151,O(n log n),Consistent performance
Quick Sort,Random,5000,67970,0.0137,O(n log n) avg,Average case
Bubble Sort,Random,10000,49991597,8.6584,O(n^2),Average case
Selection Sort,Random,10000,49995000,4.1551,O(n^2),Average case
Insertion Sort,Random,10000,25020914,4.7194,O(n^2),Average case
Merge Sort,Random,10000,120405,0.0332,O(n log n),Consistent performance
Quick Sort,Random,10000,154845,0.0322,O(n log n) avg,Average case
Bubble Sort,Random,20000,199980820,35.6272,O(n^2),Average case
Selection Sort,Random,20000,199990000,16.6986,O(n^2),Average case
Insertion Sort,Random,20000,99863290,17.9197,O(n^2),Average case
Merge Sort,Random,20000,260866,0.0706,O(n log n),Consistent performance
Quick Sort,Random,20000,434371,0.0912,O(n log n) avg,Average case
Bubble Sort,Already Sorted,100,99,0.0,O(n),Best case - early exit
