Algorithm,Input Size (n),Best Case Time,Average Case Time,Worst Case Time,Best/Worst Ratio,Variance (%),Stability
Bubble Sort,100,0.000000,0.001200,0.001000,0.00,83.33,Highly Stable
Selection Sort,100,0.000400,0.000500,0.000400,1.00,0.00,Highly Stable
Insertion Sort,100,0.000000,0.000600,0.000800,0.00,133.33,Highly Stable
Merge Sort,100,0.000100,0.000200,0.000200,2.00,50.00,Stable
Quick Sort,100,0.000100,0.000200,0.000100,1.00,0.00,Highly Stable
Bubble Sort,500,0.000100,0.019500,0.024800,248.00,126.67,Variable
Selection Sort,500,0.010900,0.010800,0.011700,1.07,7.41,Highly Stable
Insertion Sort,500,0.000100,0.010800,0.024300,243.00,224.07,Variable
Merge Sort,500,0.001400,0.001200,0.001200,0.86,-16.67,Highly Stable
Quick Sort,500,0.001300,0.001000,0.001100,0.85,-20.00,Highly Stable
Bubble Sort,1000,0.000100,0.082400,0.122500,1225.00,148.54,Variable
Selection Sort,1000,0.043200,0.044200,0.053700,1.24,23.76,Highly Stable
Insertion Sort,1000,0.000200,0.044500,0.083900,419.50,188.09,Variable
Merge Sort,1000,0.002000,0.002700,0.002200,1.10,7.41,Highly Stable
Quick Sort,1000,0.002700,0.002300,0.003000,1.11,13.04,Highly Stable
Bubble Sort,2000,0.000200,0.342900,0.443000,2215.00,129.13,Variable
Selection Sort,2000,0.170500,0.188500,0.176400,1.03,3.13,Highly Stable
Insertion Sort,2000,0.000400,0.182900,0.383400,958.50,209.40,Variable
Merge Sort,2000,0.004400,0.005500,0.003900,0.89,-9.09,Highly Stable
Quick Sort,2000,0.008000,0.005000,0.006100,0.76,-38.00,Highly Stable
Bubble Sort,5000,0.000700,2.119600,2.746400,3923.43,129.54,Variable
Selection Sort,5000,1.043000,1.042500,1.067500,1.02,2.35,Highly Stable
Insertion Sort,5000,0.001000,1.087400,2.175600,2175.60,199.98,Variable
Merge Sort,5000,0.010100,0.015100,0.010700,1.06,3.97,Highly Stable
Quick Sort,5000,0.027500,0.013700,0.017000,0.62,-76.64,Highly Stable
Bubble Sort,10000,0.001100,8.658400,11.169700,10154.27,128.99,Variable
Selection Sort,10000,4.175500,4.155100,4.398600,1.05,5.37,Highly Stable
Insertion Sort,10000,0.002300,4.719400,8.774200,3814.87,185.87,Variable
Merge Sort,10000,0.025600,0.033200,0.022300,0.87,-9.94,Highly Stable
Quick Sort,10000,0.077100,0.032200,0.036200,0.47,-127.02,Highly Stable
Bubble Sort,20000,0.002200,35.627200,44.588400,20267.45,125.15,Variable
Selection Sort,20000,16.488300,16.698600,17.016300,1.03,3.16,Highly Stable
Insertion Sort,20000,0.004000,17.919700,34.876500,8719.12,194.60,Variable
Merge Sort,20000,0.045500,0.070600,0.046800,1.03,1.84,Highly Stable
Quick Sort,20000,0.209000,0.091200,0.080700,0.39,-140.68,Highly Stable
