Algorithm,Input Size (n),Comparisons per Element,Time per Element (ns),Efficiency Score,Category
Linear Search,1000,0.90,147.00,1.1099,Search
Binary Search,1000,0.01,10.00,100.0000,Search
Linear Search,5000,0.90,147.00,1.1109,Search
Binary Search,5000,0.00,1.80,555.5556,Search
Linear Search,10000,0.90,106.20,1.1111,Search
Binary Search,10000,0.00,0.40,833.3333,Search
Linear Search,50000,0.90,158.68,1.1111,Search
Binary Search,50000,0.00,0.18,3125.0000,Search
Linear Search,100000,0.90,161.70,1.1111,Search
Binary Search,100000,0.00,0.09,7692.3077,Search
Linear Search,500000,0.90,177.31,1.1111,Search
Binary Search,500000,0.00,0.02,27777.7778,Search
Linear Search,1000000,0.90,178.63,1.1111,Search
Binary Search,1000000,0.00,0.01,52631.5789,Search
Linear Search,2000000,0.90,188.45,1.1111,Search
Binary Search,2000000,0.00,0.01,95238.0952,Search
Bubble Sort,100,49.29,12000.00,0.020288,Simple Sort
Selection Sort,100,49.50,5000.00,0.020202,Simple Sort
Insertion Sort,100,26.89,6000.00,0.037189,Simple Sort
Merge Sort,100,5.46,2000.00,0.183150,Advanced Sort
Quick Sort,100,6.13,2000.00,0.163132,Advanced Sort
Bubble Sort,500,249.43,39000.00,0.004009,Simple Sort
Selection Sort,500,249.50,21600.00,0.004008,Simple Sort
Insertion Sort,500,126.51,21600.00,0.007905,Simple Sort
Merge Sort,500,7.71,2400.00,0.129634,Advanced Sort
Quick Sort,500,9.09,2000.00,0.109987,Advanced Sort
Bubble Sort,1000,499.43,82400.00,0.002002,Simple Sort
Selection Sort,1000,499.50,44200.00,0.002002,Simple Sort
Insertion Sort,1000,255.49,44500.00,0.003914,Simple Sort
Merge Sort,1000,8.71,2700.00,0.114863,Advanced Sort
Quick Sort,1000,10.44,2300.00,0.095804,Advanced Sort
Bubble Sort,2000,999.05,171450.00,0.001001,Simple Sort
Selection Sort,2000,999.50,94250.00,0.001001,Simple Sort
Insertion Sort,2000,507.12,91450.00,0.001972,Simple Sort
Merge Sort,2000,9.71,2750.00,0.102939,Advanced Sort
Quick Sort,2000,11.55,2500.00,0.086558,Advanced Sort
Bubble Sort,5000,2499.43,423920.00,0.000400,Simple Sort
Selection Sort,5000,2499.50,208500.00,0.000400,Simple Sort
Insertion Sort,5000,1226.73,217480.00,0.000815,Simple Sort
Merge Sort,5000,11.03,3020.00,0.090627,Advanced Sort
Quick Sort,5000,13.59,2740.00,0.073562,Advanced Sort
Bubble Sort,10000,4999.16,865840.00,0.000200,Simple Sort
Selection Sort,10000,4999.50,415510.00,0.000200,Simple Sort
Insertion Sort,10000,2502.09,471940.00,0.000400,Simple Sort
Merge Sort,10000,12.04,3320.00,0.083053,Advanced Sort
Quick Sort,10000,15.48,3220.00,0.064581,Advanced Sort
Bubble Sort,20000,9999.04,1781360.00,0.000100,Simple Sort
Selection Sort,20000,9999.50,834930.00,0.000100,Simple Sort
Insertion Sort,20000,4993.16,895985.00,0.000200,Simple Sort
Merge Sort,20000,13.04,3530.00,0.076668,Advanced Sort
Quick Sort,20000,21.72,4560.00,0.046044,Advanced Sort
