Algorithm,Metric,Min,Max,Mean,Median,Std Dev,Coefficient of Variation (%)
Linear Search,Comparisons,901,1800001,412425.75,67500.50,602284.55,146.03
Binary Search,Comparisons,9,21,14.75,14.50,4.12,27.90
Linear Search,Time (sec),0.000147,0.376893,0.083778,0.012052,0.125495,149.80
Binary Search,Time (sec),0.000004,0.000016,0.000010,0.000010,0.000003,31.51
Bubble Sort,Comparisons,4929,199980820,37870962.86,1998097.00,68256297.96,180.23
Bubble Sort,Time (sec),0.001200,35.627200,6.693029,0.342900,12.161451,181.70
Selection Sort,Comparisons,4950,199990000,37872957.14,1999000.00,68259402.85,180.23
Selection Sort,Time (sec),0.000500,16.698600,3.162886,0.188500,5.697187,180.13
Insertion Sort,Comparisons,2689,99863290,18907642.00,1014231.00,34090111.07,180.30
Insertion Sort,Time (sec),0.000600,17.919700,3.423614,0.182900,6.124406,178.89
Merge Sort,Comparisons,546,260866,66997.14,19429.00,88350.28,131.87
Merge Sort,Time (sec),0.000200,0.070600,0.018357,0.005500,0.023889,130.13
Quick Sort,Comparisons,613,434371,99412.71,23106.00,145778.07,146.64
Quick Sort,Time (sec),0.000200,0.091200,0.020800,0.005000,0.030577,147.01
